,NAME,total_renter_households,30_to_34pct,35_to_39pct,40_to_49pct,50pct_plus,median_gross_rent,median_household_income,msa_code,cost_burdened,severely_burdened,pct_cost_burden,pct_severely_burdened,metro,state,burden_category,cbsa_num,fmr_2br
117,"Daphne-Fairhope-Foley, AL Metro Area",20094,1527,1142,2053,4227,1160,71039,19300,8949,4227,44.54,21.04,"Daphne-Fairhope-Foley, AL",AL,High (40-49%),19300.0,1017.0
118,"Davenport-Moline-Rock Island, IA-IL Metro Area",46638,3550,2694,4073,8991,875,68395,19340,19308,8991,41.4,19.28,"Davenport-Moline-Rock Island, IA-IL",IA,High (40-49%),19340.0,805.0
119,"Dayton-Kettering, OH Metro Area",119753,10415,6498,8205,24253,941,67088,19430,49371,24253,41.23,20.25,"Dayton-Kettering, OH",OH,High (40-49%),,
120,"Decatur, AL Metro Area",15720,1297,446,1297,2724,772,60036,19460,5764,2724,36.67,17.33,"Decatur, AL",AL,Moderate (30-39%),19460.0,720.0
121,"Decatur, IL Metro Area",13472,1059,589,747,2631,774,59622,19500,5026,2631,37.31,19.53,"Decatur, IL",IL,Moderate (30-39%),19500.0,794.0
122,"Deltona-Daytona Beach-Ormond Beach, FL Metro Area",74758,5773,4947,7667,20025,1311,64197,19660,38412,20025,51.38,26.79,"Deltona-Daytona Beach-Ormond Beach, FL",FL,Very High (50%+),19660.0,1135.0
123,"Deltona-Daytona Beach-Ormond Beach, FL Metro Area",74758,5773,4947,7667,20025,1311,64197,19660,38412,20025,51.38,26.79,"Deltona-Daytona Beach-Ormond Beach, FL",FL,Very High (50%+),19660.0,1193.0
124,"Denver-Aurora-Lakewood, CO Metro Area",421824,41919,28382,38530,98838,1706,96920,19740,207669,98838,49.23,23.43,"Denver-Aurora-Lakewood, CO",CO,High (40-49%),19740.0,1659.0
125,"Des Moines-West Des Moines, IA Metro Area",86217,7233,5249,6351,15465,1063,81103,19780,34298,15465,39.78,17.94,"Des Moines-West Des Moines, IA",IA,Moderate (30-39%),19780.0,935.0
126,"Des Moines-West Des Moines, IA Metro Area",86217,7233,5249,6351,15465,1063,81103,19780,34298,15465,39.78,17.94,"Des Moines-West Des Moines, IA",IA,Moderate (30-39%),19780.0,757.0
127,"Detroit-Warren-Dearborn, MI Metro Area",513025,42672,28581,39484,123691,1112,72456,19820,234428,123691,45.7,24.11,"Detroit-Warren-Dearborn, MI",MI,High (40-49%),19820.0,1084.0
128,"Detroit-Warren-Dearborn, MI Metro Area",513025,42672,28581,39484,123691,1112,72456,19820,234428,123691,45.7,24.11,"Detroit-Warren-Dearborn, MI",MI,High (40-49%),19820.0,1125.0
129,"Dothan, AL Metro Area",18100,1324,821,1207,3841,822,54171,20020,7193,3841,39.74,21.22,"Dothan, AL",AL,Moderate (30-39%),20020.0,705.0
130,"Dover, DE Metro Area",20352,1954,1438,1828,4975,1224,69278,20100,10195,4975,50.09,24.44,"Dover, DE",DE,Very High (50%+),20100.0,1002.0
131,"Dubuque, IA Metro Area",10673,656,589,705,2680,912,73495,20220,4630,2680,43.38,25.11,"Dubuque, IA",IA,High (40-49%),20220.0,834.0
132,"Duluth, MN-WI Metro Area",33355,3185,1805,2602,7626,909,67612,20260,15218,7626,45.62,22.86,"Duluth, MN-WI",MN,High (40-49%),20260.0,936.0
133,"Duluth, MN-WI Metro Area",33355,3185,1805,2602,7626,909,67612,20260,15218,7626,45.62,22.86,"Duluth, MN-WI",MN,High (40-49%),20260.0,826.0
134,"Durham-Chapel Hill, NC Metro Area",94981,9245,5434,6877,21459,1249,76040,20500,43015,21459,45.29,22.59,"Durham-Chapel Hill, NC",NC,High (40-49%),20500.0,1199.0
135,"Durham-Chapel Hill, NC Metro Area",94981,9245,5434,6877,21459,1249,76040,20500,43015,21459,45.29,22.59,"Durham-Chapel Hill, NC",NC,High (40-49%),20500.0,863.0
136,"East Stroudsburg, PA Metro Area",12589,1108,581,1280,3386,1311,80656,20700,6355,3386,50.48,26.9,"East Stroudsburg, PA",PA,Very High (50%+),20700.0,1153.0
137,"Eau Claire, WI Metro Area",22395,1679,1263,1571,3965,925,70009,20740,8478,3965,37.86,17.7,"Eau Claire, WI",WI,Moderate (30-39%),20740.0,836.0
138,"El Centro, CA Metro Area",19902,1839,1543,1537,5146,961,53847,20940,10065,5146,50.57,25.86,"El Centro, CA",CA,Very High (50%+),20940.0,1065.0
139,"Elizabethtown-Fort Knox, KY Metro Area",20407,1161,982,1226,2978,902,64111,21060,6347,2978,31.1,14.59,"Elizabethtown-Fort Knox, KY",KY,Moderate (30-39%),21060.0,835.0
140,"Elkhart-Goshen, IN Metro Area",20633,1944,1203,1573,4275,945,63978,21140,8995,4275,43.6,20.72,"Elkhart-Goshen, IN",IN,High (40-49%),21140.0,865.0
141,"Elmira, NY Metro Area",10978,1045,605,783,2958,991,61358,21300,5391,2958,49.11,26.94,"Elmira, NY",NY,High (40-49%),21300.0,944.0
142,"El Paso, TX Metro Area",108524,9244,7411,10141,24594,977,55344,21340,51390,24594,47.35,22.66,"El Paso, TX",TX,High (40-49%),21340.0,840.0
143,"Enid, OK Metro Area",8158,610,520,542,1405,868,64165,21420,3077,1405,37.72,17.22,"Enid, OK",OK,Moderate (30-39%),21420.0,866.0
144,"Erie, PA Metro Area",35065,2727,2144,2760,8926,851,59396,21500,16557,8926,47.22,25.46,"Erie, PA",PA,High (40-49%),21500.0,848.0
145,"Eugene-Springfield, OR Metro Area",64535,5535,3668,5982,17207,1210,65157,21660,32392,17207,50.19,26.66,"Eugene-Springfield, OR",OR,Very High (50%+),21660.0,1254.0
146,"Evansville, IN-KY Metro Area",39932,2592,2199,3373,8712,908,64084,21780,16876,8712,42.26,21.82,"Evansville, IN-KY",IN,High (40-49%),21780.0,880.0
147,"Fairbanks, AK Metro Area",14330,1168,730,1700,2570,1360,81655,21820,6168,2570,43.04,17.93,"Fairbanks, AK",AK,High (40-49%),21820.0,1320.0
148,"Fargo, ND-MN Metro Area",46553,3591,2582,3701,9230,919,73641,22020,19104,9230,41.04,19.83,"Fargo, ND-MN",ND,High (40-49%),22020.0,859.0
149,"Farmington, NM Metro Area",12171,863,542,857,2390,894,50734,22140,4652,2390,38.22,19.64,"Farmington, NM",NM,Moderate (30-39%),22140.0,850.0
150,"Fayetteville, NC Metro Area",80727,6269,4978,7839,17668,1085,57488,22180,36754,17668,45.53,21.89,"Fayetteville, NC",NC,High (40-49%),22180.0,913.0
151,"Fayetteville, NC Metro Area",80727,6269,4978,7839,17668,1085,57488,22180,36754,17668,45.53,21.89,"Fayetteville, NC",NC,High (40-49%),22180.0,856.0
152,"Fayetteville-Springdale-Rogers, AR Metro Area",77362,6267,4138,4601,12221,1010,73316,22220,27227,12221,35.19,15.8,"Fayetteville-Springdale-Rogers, AR",AR,Moderate (30-39%),22220.0,865.0
153,"Flagstaff, AZ Metro Area",21288,1920,1433,1771,5337,1353,67266,22380,10461,5337,49.14,25.07,"Flagstaff, AZ",AZ,High (40-49%),22380.0,1474.0
154,"Flint, MI Metro Area",49178,3830,3264,3811,12446,893,58594,22420,23351,12446,47.48,25.31,"Flint, MI",MI,High (40-49%),22420.0,821.0
155,"Florence, SC Metro Area",26195,1374,1416,2446,5626,848,52401,22500,10862,5626,41.47,21.48,"Florence, SC",SC,High (40-49%),22500.0,832.0
156,"Florence-Muscle Shoals, AL Metro Area",19168,1499,790,1344,3200,787,56113,22520,6833,3200,35.65,16.69,"Florence-Muscle Shoals, AL",AL,Moderate (30-39%),22520.0,751.0
157,"Fond du Lac, WI Metro Area",12437,1133,651,988,1898,892,70368,22540,4670,1898,37.55,15.26,"Fond du Lac, WI",WI,Moderate (30-39%),22540.0,833.0
158,"Fort Collins, CO Metro Area",52796,4395,3346,4688,14113,1584,87199,22660,26542,14113,50.27,26.73,"Fort Collins, CO",CO,Very High (50%+),22660.0,1421.0
159,"Fort Smith, AR-OK Metro Area",32262,2154,1857,2845,5461,791,53224,22900,12317,5461,38.18,16.93,"Fort Smith, AR-OK",AR,Moderate (30-39%),22900.0,740.0
160,"Fort Smith, AR-OK Metro Area",32262,2154,1857,2845,5461,791,53224,22900,12317,5461,38.18,16.93,"Fort Smith, AR-OK",AR,Moderate (30-39%),22900.0,649.0
161,"Fort Wayne, IN Metro Area",48941,3986,2661,3521,9932,922,66758,23060,20100,9932,41.07,20.29,"Fort Wayne, IN",IN,High (40-49%),23060.0,822.0
162,"Fresno, CA Metro Area",145867,12365,9819,13543,38249,1207,67756,23420,73976,38249,50.71,26.22,"Fresno, CA",CA,Very High (50%+),23420.0,1137.0
163,"Gadsden, AL Metro Area",10337,752,475,883,2182,779,52177,23460,4292,2182,41.52,21.11,"Gadsden, AL",AL,High (40-49%),23460.0,710.0
164,"Gainesville, FL Metro Area",54195,3717,3285,4446,17054,1157,56638,23540,28502,17054,52.59,31.47,"Gainesville, FL",FL,Very High (50%+),23540.0,1038.0
165,"Gainesville, FL Metro Area",54195,3717,3285,4446,17054,1157,56638,23540,28502,17054,52.59,31.47,"Gainesville, FL",FL,Very High (50%+),23540.0,757.0
166,"Gainesville, GA Metro Area",20817,1487,1784,2028,4518,1179,74153,23580,9817,4518,47.16,21.7,"Gainesville, GA",GA,High (40-49%),23580.0,1028.0
167,"Gettysburg, PA Metro Area",8742,679,487,677,1472,1060,78975,23900,3315,1472,37.92,16.84,"Gettysburg, PA",PA,Moderate (30-39%),23900.0,1032.0
168,"Glens Falls, NY Metro Area",15065,1560,762,1075,3201,1015,71380,24020,6598,3201,43.8,21.25,"Glens Falls, NY",NY,High (40-49%),24020.0,1065.0
169,"Goldsboro, NC Metro Area",18151,1804,941,1661,3420,899,54323,24140,7826,3420,43.12,18.84,"Goldsboro, NC",NC,High (40-49%),24140.0,849.0
170,"Grand Forks, ND-MN Metro Area",18562,1289,1278,1703,3862,918,65971,24220,8132,3862,43.81,20.81,"Grand Forks, ND-MN",ND,High (40-49%),24220.0,854.0
171,"Grand Island, NE Metro Area",10371,1145,454,1017,1518,870,63314,24260,4134,1518,39.86,14.64,"Grand Island, NE",NE,Moderate (30-39%),,
172,"Grand Junction, CO Metro Area",17781,1079,1233,1416,4021,1089,68077,24300,7749,4021,43.58,22.61,"Grand Junction, CO",CO,High (40-49%),24300.0,1026.0
173,"Grand Rapids-Kentwood, MI Metro Area",109085,10174,7303,8584,22843,1078,76898,24340,48904,22843,44.83,20.94,"Grand Rapids-Kentwood, MI",MI,High (40-49%),24340.0,1041.0
174,"Grand Rapids-Kentwood, MI Metro Area",109085,10174,7303,8584,22843,1078,76898,24340,48904,22843,44.83,20.94,"Grand Rapids-Kentwood, MI",MI,High (40-49%),24340.0,971.0
175,"Grand Rapids-Kentwood, MI Metro Area",109085,10174,7303,8584,22843,1078,76898,24340,48904,22843,44.83,20.94,"Grand Rapids-Kentwood, MI",MI,High (40-49%),24340.0,884.0
176,"Grants Pass, OR Metro Area",10645,1046,987,921,2956,1093,56068,24420,5910,2956,55.52,27.77,"Grants Pass, OR",OR,Very High (50%+),24420.0,1116.0
177,"Great Falls, MT Metro Area",11060,788,616,1075,1958,866,61351,24500,4437,1958,40.12,17.7,"Great Falls, MT",MT,High (40-49%),24500.0,849.0
178,"Greeley, CO Metro Area",28700,2404,2102,2624,6881,1351,89182,24540,14011,6881,48.82,23.98,"Greeley, CO",CO,High (40-49%),24540.0,1272.0
179,"Green Bay, WI Metro Area",42160,3990,2133,2996,6915,924,74208,24580,16034,6915,38.03,16.4,"Green Bay, WI",WI,Moderate (30-39%),24580.0,875.0
180,"Greensboro-High Point, NC Metro Area",111875,9563,7295,10856,23051,985,59567,24660,50765,23051,45.38,20.6,"Greensboro-High Point, NC",NC,High (40-49%),24660.0,952.0
181,"Greenville, NC Metro Area",35193,2762,1835,2391,8675,911,54915,24780,15663,8675,44.51,24.65,"Greenville, NC",NC,High (40-49%),24780.0,910.0
182,"Greenville-Anderson, SC Metro Area",108358,9003,6651,8450,24452,1026,66226,24860,48556,24452,44.81,22.57,"Greenville-Anderson, SC",SC,High (40-49%),24860.0,833.0
183,"Greenville-Anderson, SC Metro Area",108358,9003,6651,8450,24452,1026,66226,24860,48556,24452,44.81,22.57,"Greenville-Anderson, SC",SC,High (40-49%),24860.0,992.0
184,"Gulfport-Biloxi, MS Metro Area",53527,4097,3151,4823,12349,1010,58287,25060,24420,12349,45.62,23.07,"Gulfport-Biloxi, MS",MS,High (40-49%),25060.0,863.0
185,"Gulfport-Biloxi, MS Metro Area",53527,4097,3151,4823,12349,1010,58287,25060,24420,12349,45.62,23.07,"Gulfport-Biloxi, MS",MS,High (40-49%),25060.0,846.0
186,"Gulfport-Biloxi, MS Metro Area",53527,4097,3151,4823,12349,1010,58287,25060,24420,12349,45.62,23.07,"Gulfport-Biloxi, MS",MS,High (40-49%),25060.0,705.0
187,"Hagerstown-Martinsburg, MD-WV Metro Area",33481,3210,2229,2111,6589,1076,72751,25180,14139,6589,42.23,19.68,"Hagerstown-Martinsburg, MD-WV",MD,High (40-49%),25180.0,972.0
188,"Hagerstown-Martinsburg, MD-WV Metro Area",33481,3210,2229,2111,6589,1076,72751,25180,14139,6589,42.23,19.68,"Hagerstown-Martinsburg, MD-WV",MD,High (40-49%),25180.0,991.0
189,"Hagerstown-Martinsburg, MD-WV Metro Area",33481,3210,2229,2111,6589,1076,72751,25180,14139,6589,42.23,19.68,"Hagerstown-Martinsburg, MD-WV",MD,High (40-49%),25180.0,785.0
190,"Hammond, LA Metro Area",13280,830,625,1360,3629,930,55274,25220,6444,3629,48.52,27.33,"Hammond, LA",LA,High (40-49%),25220.0,913.0
191,"Hanford-Corcoran, CA Metro Area",19670,1818,1139,1632,3936,1201,68540,25260,8525,3936,43.34,20.01,"Hanford-Corcoran, CA",CA,High (40-49%),25260.0,1162.0
192,"Harrisburg-Carlisle, PA Metro Area",77726,5849,3925,5934,14986,1098,76189,25420,30694,14986,39.49,19.28,"Harrisburg-Carlisle, PA",PA,Moderate (30-39%),,
193,"Harrisonburg, VA Metro Area",18435,1345,754,1085,4037,1068,66823,25500,7221,4037,39.17,21.9,"Harrisonburg, VA",VA,Moderate (30-39%),25500.0,951.0
194,"Hartford-East Hartford-Middletown, CT Metro Area",160785,13422,9970,13016,39299,1297,89371,25540,75707,39299,47.09,24.44,"Hartford-East Hartford-Middletown, CT",CT,High (40-49%),25540.0,1302.0
195,"Hartford-East Hartford-Middletown, CT Metro Area",160785,13422,9970,13016,39299,1297,89371,25540,75707,39299,47.09,24.44,"Hartford-East Hartford-Middletown, CT",CT,High (40-49%),25540.0,1441.0
196,"Hattiesburg, MS Metro Area",23726,1458,1291,2075,5201,939,55078,25620,10025,5201,42.25,21.92,"Hattiesburg, MS",MS,High (40-49%),25620.0,705.0
197,"Hattiesburg, MS Metro Area",23726,1458,1291,2075,5201,939,55078,25620,10025,5201,42.25,21.92,"Hattiesburg, MS",MS,High (40-49%),25620.0,868.0
198,"Hickory-Lenoir-Morganton, NC Metro Area",37822,2841,1802,2657,5711,797,57943,25860,13011,5711,34.4,15.1,"Hickory-Lenoir-Morganton, NC",NC,Moderate (30-39%),25860.0,724.0
199,"Hilton Head Island-Bluffton, SC Metro Area",21740,1488,1578,2035,4308,1400,77536,25940,9409,4308,43.28,19.82,"Hilton Head Island-Bluffton, SC",SC,High (40-49%),,
200,"Hinesville, GA Metro Area",14091,1359,1266,933,2653,1146,55427,25980,6211,2653,44.08,18.83,"Hinesville, GA",GA,High (40-49%),25980.0,1016.0
201,"Homosassa Springs, FL Metro Area",9890,750,631,668,2710,1000,52569,26140,4759,2710,48.12,27.4,"Homosassa Springs, FL",FL,High (40-49%),26140.0,943.0
202,"Hot Springs, AR Metro Area",13711,1037,647,756,2615,913,54229,26300,5055,2615,36.87,19.07,"Hot Springs, AR",AR,Moderate (30-39%),26300.0,807.0
203,"Houma-Thibodaux, LA Metro Area",18709,1340,1401,1069,3975,927,62443,26380,7785,3975,41.61,21.25,"Houma-Thibodaux, LA",LA,High (40-49%),26380.0,890.0
204,"Houston-The Woodlands-Sugar Land, TX Metro Area",982172,84560,68827,88772,230882,1301,78061,26420,473041,230882,48.16,23.51,"Houston-The Woodlands-Sugar Land, TX",TX,High (40-49%),26420.0,1179.0
205,"Houston-The Woodlands-Sugar Land, TX Metro Area",982172,84560,68827,88772,230882,1301,78061,26420,473041,230882,48.16,23.51,"Houston-The Woodlands-Sugar Land, TX",TX,High (40-49%),26420.0,1208.0
206,"Huntington-Ashland, WV-KY-OH Metro Area",38131,2535,1718,2428,9013,840,55964,26580,15694,9013,41.16,23.64,"Huntington-Ashland, WV-KY-OH",WV,High (40-49%),26580.0,674.0
207,"Huntington-Ashland, WV-KY-OH Metro Area",38131,2535,1718,2428,9013,840,55964,26580,15694,9013,41.16,23.64,"Huntington-Ashland, WV-KY-OH",WV,High (40-49%),26580.0,791.0
208,"Huntington-Ashland, WV-KY-OH Metro Area",38131,2535,1718,2428,9013,840,55964,26580,15694,9013,41.16,23.64,"Huntington-Ashland, WV-KY-OH",WV,High (40-49%),26580.0,940.0
209,"Huntsville, AL Metro Area",59628,4757,3165,3962,11477,1016,78521,26620,23361,11477,39.18,19.25,"Huntsville, AL",AL,Moderate (30-39%),26620.0,897.0
210,"Idaho Falls, ID Metro Area",14211,948,1010,1121,2157,968,73337,26820,5236,2157,36.84,15.18,"Idaho Falls, ID",ID,Moderate (30-39%),26820.0,865.0
211,"Indianapolis-Carmel-Anderson, IN Metro Area",277043,24989,17508,22355,59637,1081,73571,26900,124489,59637,44.93,21.53,"Indianapolis-Carmel-Anderson, IN",IN,High (40-49%),26900.0,796.0
212,"Indianapolis-Carmel-Anderson, IN Metro Area",277043,24989,17508,22355,59637,1081,73571,26900,124489,59637,44.93,21.53,"Indianapolis-Carmel-Anderson, IN",IN,High (40-49%),26900.0,939.0
213,"Iowa City, IA Metro Area",27631,2307,1646,2497,7800,1057,72680,26980,14250,7800,51.57,28.23,"Iowa City, IA",IA,Very High (50%+),26980.0,1063.0
214,"Ithaca, NY Metro Area",19656,1433,1113,1345,6710,1320,69995,27060,10601,6710,53.93,34.14,"Ithaca, NY",NY,Very High (50%+),27060.0,1365.0
215,"Jackson, MI Metro Area",15865,1015,977,1251,3545,920,62581,27100,6788,3545,42.79,22.34,"Jackson, MI",MI,High (40-49%),27100.0,866.0
216,"Jackson, MS Metro Area",73060,7095,4495,5919,16515,1012,60085,27140,34024,16515,46.57,22.6,"Jackson, MS",MS,High (40-49%),27140.0,705.0
217,"Jackson, MS Metro Area",73060,7095,4495,5919,16515,1012,60085,27140,34024,16515,46.57,22.6,"Jackson, MS",MS,High (40-49%),27140.0,947.0
218,"Jackson, TN Metro Area",24662,2181,1366,2159,5610,903,55807,27180,11316,5610,45.88,22.75,"Jackson, TN",TN,High (40-49%),27180.0,708.0
219,"Jackson, TN Metro Area",24662,2181,1366,2159,5610,903,55807,27180,11316,5610,45.88,22.75,"Jackson, TN",TN,High (40-49%),27180.0,845.0
220,"Jacksonville, FL Metro Area",212834,21820,13506,20475,48767,1315,73194,27260,104568,48767,49.13,22.91,"Jacksonville, FL",FL,High (40-49%),27260.0,1188.0
221,"Jacksonville, NC Metro Area",29164,2777,1283,3024,6311,1132,59976,27340,13395,6311,45.93,21.64,"Jacksonville, NC",NC,High (40-49%),27340.0,876.0
222,"Janesville-Beloit, WI Metro Area",19977,1616,1147,1405,3599,981,70630,27500,7767,3599,38.88,18.02,"Janesville-Beloit, WI",WI,Moderate (30-39%),27500.0,915.0
223,"Jefferson City, MO Metro Area",15701,1084,870,895,2237,776,70195,27620,5086,2237,32.39,14.25,"Jefferson City, MO",MO,Moderate (30-39%),27620.0,694.0
224,"Johnson City, TN Metro Area",28283,1890,1434,2392,5271,845,54217,27740,10987,5271,38.85,18.64,"Johnson City, TN",TN,Moderate (30-39%),27740.0,781.0
225,"Johnstown, PA Metro Area",13453,812,570,867,2810,700,54221,27780,5059,2810,37.6,20.89,"Johnstown, PA",PA,Moderate (30-39%),27780.0,757.0
226,"Jonesboro, AR Metro Area",20376,1649,1039,1782,4453,852,52709,27860,8923,4453,43.79,21.85,"Jonesboro, AR",AR,High (40-49%),27860.0,832.0
227,"Joplin, MO Metro Area",23116,2001,1183,1835,4468,853,56930,27900,9487,4468,41.04,19.33,"Joplin, MO",MO,High (40-49%),27900.0,765.0
228,"Kahului-Wailuku-Lahaina, HI Metro Area",18970,1436,1150,1679,4649,1805,95379,27980,8914,4649,46.99,24.51,"Kahului-Wailuku-Lahaina, HI",HI,High (40-49%),27980.0,1957.0
229,"Kalamazoo-Portage, MI Metro Area",38068,3117,2225,3801,8631,994,67905,28020,17774,8631,46.69,22.67,"Kalamazoo-Portage, MI",MI,High (40-49%),28020.0,879.0
230,"Kankakee, IL Metro Area",12957,1259,694,1230,2953,1025,65489,28100,6136,2953,47.36,22.79,"Kankakee, IL",IL,High (40-49%),28100.0,978.0
231,"Kansas City, MO-KS Metro Area",301048,24771,17753,24040,60109,1148,78827,28140,126673,60109,42.08,19.97,"Kansas City, MO-KS",MO,High (40-49%),28140.0,1030.0
232,"Kennewick-Richland, WA Metro Area",32651,2991,2033,3232,6050,1157,82146,28420,14306,6050,43.81,18.53,"Kennewick-Richland, WA",WA,High (40-49%),28420.0,1060.0
233,"Killeen-Temple, TX Metro Area",73297,6831,5090,6909,14302,1084,63394,28660,33132,14302,45.2,19.51,"Killeen-Temple, TX",TX,High (40-49%),28660.0,815.0
234,"Kingsport-Bristol, TN-VA Metro Area",33585,2346,1497,2339,5497,778,53644,28700,11679,5497,34.77,16.37,"Kingsport-Bristol, TN-VA",TN,Moderate (30-39%),28700.0,702.0
235,"Kingston, NY Metro Area",22290,1693,1682,1507,6267,1269,77197,28740,11149,6267,50.02,28.12,"Kingston, NY",NY,Very High (50%+),28740.0,1364.0
236,"Knoxville, TN Metro Area",107636,8792,5562,8903,21425,1012,66715,28940,44682,21425,41.51,19.91,"Knoxville, TN",TN,High (40-49%),28940.0,980.0
237,"Kokomo, IN Metro Area",9905,753,580,614,2004,855,62014,29020,3951,2004,39.89,20.23,"Kokomo, IN",IN,Moderate (30-39%),29020.0,738.0
238,"La Crosse-Onalaska, WI-MN Metro Area",20356,1586,803,1526,4621,977,69043,29100,8536,4621,41.93,22.7,"La Crosse-Onalaska, WI-MN",WI,High (40-49%),29100.0,930.0
