Unnamed: 0,NAME,total_renter_households,30_to_34pct,35_to_39pct,40_to_49pct,50pct_plus,median_gross_rent,median_household_income,msa_code,cost_burdened,severely_burdened,pct_cost_burden,pct_severely_burdened,metro,state,burden_category,cbsa_num,fmr_2br,cbsacode18,WRLURI18,num_municipalities,welfare_loss_index,welfare_loss_score,zoning_tax,zoning_tax_pct,log_renters,predicted_burden,residual
1,"Akron, OH Metro Area",94274,8045,4959,7312,21628,962,68647,10420,41944,21628,44.49,22.94,"Akron, OH",OH,High (40-49%),10420.0,890.0,10420.0,-0.56695074,8,19.490000000000002,56.76,72.0,8.09,11.453960714804323,45.42,-0.93
2,"Albany, GA Metro Area",24683,1683,1434,1492,6885,912,53173,10500,11494,6885,46.57,27.89,"Albany, GA",GA,High (40-49%),10500.0,810.0,10500.0,-1.5246153,2,21.57,62.81,102.0,12.59,10.113870026547724,49.64,-3.07
3,"Albany-Lebanon, OR Metro Area",16499,1470,1149,1607,3479,1160,69523,10540,7705,3479,46.7,21.09,"Albany-Lebanon, OR",OR,High (40-49%),10540.0,1138.0,10540.0,0.30459246,3,21.700000000000003,63.19,22.0,1.93,9.711055051991444,43.34,3.36
4,"Albany-Schenectady-Troy, NY Metro Area",135406,10442,6812,10240,30101,1181,83360,10580,57595,30101,42.54,22.23,"Albany-Schenectady-Troy, NY",NY,High (40-49%),10580.0,1207.0,10580.0,0.32127252,10,17.54,51.08,-26.0,-2.15,11.816032951624747,45.31,-2.77
5,"Albuquerque, NM Metro Area",118861,9544,7849,10090,28712,1035,63971,10740,56195,28712,47.28,24.16,"Albuquerque, NM",NM,High (40-49%),10740.0,996.0,10740.0,0.83720124,2,22.28,64.88,39.0,3.92,11.685710022144557,47.58,-0.3
7,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",103425,8998,6323,9650,24371,1246,78597,10900,49342,24371,47.71,23.56,"Allentown-Bethlehem-Easton, PA-NJ",PA,High (40-49%),10900.0,1196.0,10900.0,0.21193999,14,22.71,66.13,50.0,4.18,11.546601991329613,46.55,1.16
8,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",103425,8998,6323,9650,24371,1246,78597,10900,49342,24371,47.71,23.56,"Allentown-Bethlehem-Easton, PA-NJ",PA,High (40-49%),10900.0,1365.0,10900.0,0.21193999,14,22.71,66.13,-119.0,-8.72,11.546601991329613,46.58,1.13
9,"Altoona, PA Metro Area",13916,1409,1200,1065,2490,838,59386,11020,6164,2490,44.29,17.89,"Altoona, PA",PA,High (40-49%),11020.0,829.0,11020.0,-1.1838697,1,19.29,56.17,9.0,1.09,9.540794536271832,39.08,5.21
10,"Amarillo, TX Metro Area",36333,2962,1725,2659,7941,997,64147,11100,15287,7941,42.07,21.86,"Amarillo, TX",TX,High (40-49%),11100.0,908.0,11100.0,1.5172467,1,17.07,49.71,89.0,9.8,10.50048169818916,45.09,-3.02
11,"Ames, IA Metro Area",19234,1288,652,1646,5336,981,68107,11180,8922,5336,46.39,27.74,"Ames, IA",IA,High (40-49%),11180.0,943.0,11180.0,-1.2075117,1,21.39,62.29,38.0,4.03,9.864434825272427,49.59,-3.2
12,"Ames, IA Metro Area",19234,1288,652,1646,5336,981,68107,11180,8922,5336,46.39,27.74,"Ames, IA",IA,High (40-49%),11180.0,810.0,11180.0,-1.2075117,1,21.39,62.29,171.0,21.11,9.864434825272427,49.55,-3.16
14,"Ann Arbor, MI Metro Area",57647,4298,3175,5007,16375,1335,84245,11460,28855,16375,50.05,28.41,"Ann Arbor, MI",MI,Very High (50%+),11460.0,1262.0,11460.0,0.40812534,8,25.049999999999997,72.95,73.0,5.78,10.962093486181855,51.58,-1.53
16,"Appleton, WI Metro Area",25721,1799,1136,1726,3383,942,79958,11540,8044,3383,31.27,13.15,"Appleton, WI",WI,Moderate (30-39%),11540.0,881.0,11540.0,-0.43127388,4,6.27,18.26,61.0,6.92,10.155063057844572,34.68,-3.41
17,"Asheville, NC Metro Area",57940,5535,4048,5602,11562,1121,64538,11700,26747,11562,46.16,19.96,"Asheville, NC",NC,High (40-49%),11700.0,1378.0,11700.0,-0.44771054,3,21.159999999999997,61.62,-257.0,-18.65,10.967163271323342,42.22,3.94
19,"Atlanta-Sandy Springs-Alpharetta, GA Metro Area",777789,67840,52165,73610,184965,1446,82625,12060,378580,184965,48.67,23.78,"Atlanta-Sandy Springs-Alpharetta, GA",GA,High (40-49%),12060.0,1289.0,12060.0,-0.27728018,27,23.67,68.93,157.0,12.18,13.564210558150705,47.2,1.47
20,"Atlantic City-Hammonton, NJ Metro Area",34262,2994,2090,3292,10192,1268,73113,12100,18568,10192,54.19,29.75,"Atlantic City-Hammonton, NJ",NJ,Very High (50%+),12100.0,1407.0,12100.0,1.1549332,3,29.189999999999998,85.0,-139.0,-9.88,10.441792147290403,53.26,0.93
21,"Auburn-Opelika, AL Metro Area",22649,1526,1129,1525,6921,953,59288,12220,11101,6921,49.01,30.56,"Auburn-Opelika, AL",AL,High (40-49%),12220.0,924.0,12220.0,-1.3148222,2,24.009999999999998,69.92,29.0,3.14,10.02787097982616,52.58,-3.57
22,"Augusta-Richmond County, GA-SC Metro Area",71629,6055,3787,6201,18106,1016,62941,12260,34149,18106,47.67,25.28,"Augusta-Richmond County, GA-SC",GA,High (40-49%),12260.0,906.0,12260.0,0.49490932,1,22.67,66.02,110.0,12.14,11.179255298880026,48.37,-0.7
23,"Austin-Round Rock-Georgetown, TX Metro Area",372749,32953,25046,31087,82467,1529,92939,12420,171553,82467,46.02,22.12,"Austin-Round Rock-Georgetown, TX",TX,High (40-49%),12420.0,1451.0,12420.0,0.52615625,7,21.020000000000003,61.21,78.0,5.38,12.82866054986014,45.65,0.37
24,"Bakersfield, CA Metro Area",112026,9224,8131,11466,29157,1161,63883,12540,57978,29157,51.75,26.03,"Bakersfield, CA",CA,Very High (50%+),12540.0,1013.0,12540.0,-0.123395346,3,26.75,77.9,148.0,14.61,11.62648626619339,48.98,2.77
25,"Baltimore-Columbia-Towson, MD Metro Area",361927,30595,23137,31729,87437,1489,94167,12580,172898,87437,47.77,24.16,"Baltimore-Columbia-Towson, MD",MD,High (40-49%),12580.0,1395.0,12580.0,1.4659218,3,22.770000000000003,66.31,94.0,6.74,12.799197813013745,48.31,-0.54
26,"Bangor, ME Metro Area",19189,1578,1518,1740,3721,932,59438,12620,8557,3721,44.59,19.39,"Bangor, ME",ME,High (40-49%),12620.0,1103.0,12620.0,-0.057438772,6,19.590000000000003,57.05,-171.0,-15.5,9.862092477169742,41.44,3.15
27,"Barnstable Town, MA Metro Area",18635,1833,1271,1540,5188,1536,90447,12700,9832,5188,52.76,27.84,"Barnstable Town, MA",MA,Very High (50%+),12700.0,1879.0,12700.0,0.5599534,2,27.759999999999998,80.84,-343.0,-18.25,9.832796811913358,50.72,2.04
28,"Baton Rouge, LA Metro Area",98146,7381,6073,7771,24765,1072,67979,12940,45990,24765,46.86,25.23,"Baton Rouge, LA",LA,High (40-49%),12940.0,738.0,12940.0,0.118457556,3,21.86,63.66,334.0,45.26,11.494211444926103,48.14,-1.28
29,"Baton Rouge, LA Metro Area",98146,7381,6073,7771,24765,1072,67979,12940,45990,24765,46.86,25.23,"Baton Rouge, LA",LA,High (40-49%),12940.0,917.0,12940.0,0.118457556,3,21.86,63.66,155.0,16.9,11.494211444926103,48.21,-1.35
30,"Battle Creek, MI Metro Area",15032,1423,787,1252,3098,897,58191,12980,6560,3098,43.64,20.61,"Battle Creek, MI",MI,High (40-49%),12980.0,841.0,12980.0,-0.57948095,4,18.64,54.28,56.0,6.66,9.617936541093302,42.3,1.34
31,"Bay City, MI Metro Area",10970,792,594,751,2271,786,57887,13020,4408,2271,40.18,20.7,"Bay City, MI",MI,High (40-49%),13020.0,786.0,13020.0,0.2161073,5,15.18,44.21,0.0,0.0,9.302919553269277,42.74,-2.56
32,"Beaumont-Port Arthur, TX Metro Area",47109,3758,2894,4033,10258,992,62427,13140,20943,10258,44.46,21.78,"Beaumont-Port Arthur, TX",TX,High (40-49%),13140.0,982.0,13140.0,-0.47625297,4,19.46,56.67,10.0,1.02,10.760219344553063,44.01,0.45
34,"Bellingham, WA Metro Area",33729,2595,2808,3335,9355,1370,77581,13380,18093,9355,53.64,27.74,"Bellingham, WA",WA,Very High (50%+),13380.0,1254.0,13380.0,0.44147035,2,28.64,83.4,116.0,9.25,10.42611328041787,50.69,2.95
35,"Bend, OR Metro Area",24660,2369,1636,2113,5899,1550,82042,13460,12017,5899,48.73,23.92,"Bend, OR",OR,High (40-49%),13460.0,1303.0,13460.0,-0.24191299,1,23.729999999999997,69.1,247.0,18.96,10.112937776718335,46.13,2.6
38,"Binghamton, NY Metro Area",33082,2432,1681,3132,8638,884,61271,13780,15883,8638,48.01,26.11,"Binghamton, NY",NY,High (40-49%),13780.0,855.0,13780.0,-0.09780693,6,23.009999999999998,67.01,29.0,3.39,10.406744606802166,48.67,-0.66
39,"Birmingham-Hoover, AL Metro Area",128048,10751,7483,10107,29686,1081,68329,13820,58027,29686,45.32,23.18,"Birmingham-Hoover, AL",AL,High (40-49%),13820.0,943.0,13820.0,0.091509946,6,20.32,59.17,138.0,14.63,11.760160472606827,46.13,-0.81
40,"Bismarck, ND Metro Area",14993,865,870,993,2858,973,81846,13900,5586,2858,37.26,19.06,"Bismarck, ND",ND,Moderate (30-39%),13900.0,880.0,13900.0,0.0065766573,2,12.259999999999998,35.7,93.0,10.57,9.615338704494903,40.97,-3.71
41,"Blacksburg-Christiansburg, VA Metro Area",25042,1522,704,1557,6862,1040,62017,13980,10645,6862,42.51,27.4,"Blacksburg-Christiansburg, VA",VA,High (40-49%),13980.0,935.0,13980.0,-1.109653,1,17.509999999999998,50.99,105.0,11.23,10.128309694228893,49.36,-6.85
42,"Bloomington, IL Metro Area",23979,1242,1475,1430,4936,941,75356,14010,9083,4936,37.88,20.58,"Bloomington, IL",IL,Moderate (30-39%),14010.0,870.0,14010.0,-0.98266155,3,12.880000000000003,37.51,71.0,8.16,10.084933726294128,42.21,-4.33
43,"Bloomington, IN Metro Area",27413,1848,1268,2399,9273,1089,59998,14020,14788,9273,53.95,33.83,"Bloomington, IN",IN,Very High (50%+),14020.0,971.0,14020.0,2.6153083,1,28.950000000000003,84.3,118.0,12.15,10.21877263241388,58.25,-4.3
45,"Boise City, ID Metro Area",78205,7431,5235,6413,14344,1245,78138,14260,33423,14344,42.74,18.34,"Boise City, ID",ID,High (40-49%),14260.0,1118.0,14260.0,-0.70210004,1,17.740000000000002,51.66,127.0,11.36,11.267088863108341,40.4,2.34
46,"Boston-Cambridge-Newton, MA-NH Metro Area",736123,67448,46031,59914,173950,1827,107117,14460,347343,173950,47.19,23.63,"Boston-Cambridge-Newton, MA-NH",MA,High (40-49%),14460.0,2399.0,14460.0,0.34709245,44,22.189999999999998,64.62,-572.0,-23.84,13.509152503313311,47.46,-0.27
47,"Boston-Cambridge-Newton, MA-NH Metro Area",736123,67448,46031,59914,173950,1827,107117,14460,347343,173950,47.19,23.63,"Boston-Cambridge-Newton, MA-NH",MA,High (40-49%),14460.0,1723.0,14460.0,0.34709245,44,22.189999999999998,64.62,104.0,6.04,13.509152503313311,47.38,-0.19
48,"Boston-Cambridge-Newton, MA-NH Metro Area",736123,67448,46031,59914,173950,1827,107117,14460,347343,173950,47.19,23.63,"Boston-Cambridge-Newton, MA-NH",MA,High (40-49%),14460.0,1565.0,14460.0,0.34709245,44,22.189999999999998,64.62,262.0,16.74,13.509152503313311,47.36,-0.17
49,"Boston-Cambridge-Newton, MA-NH Metro Area",736123,67448,46031,59914,173950,1827,107117,14460,347343,173950,47.19,23.63,"Boston-Cambridge-Newton, MA-NH",MA,High (40-49%),14460.0,1773.0,14460.0,0.34709245,44,22.189999999999998,64.62,54.0,3.05,13.509152503313311,47.39,-0.2
50,"Boston-Cambridge-Newton, MA-NH Metro Area",736123,67448,46031,59914,173950,1827,107117,14460,347343,173950,47.19,23.63,"Boston-Cambridge-Newton, MA-NH",MA,High (40-49%),14460.0,1399.0,14460.0,0.34709245,44,22.189999999999998,64.62,428.0,30.59,13.509152503313311,47.33,-0.14
51,"Boston-Cambridge-Newton, MA-NH Metro Area",736123,67448,46031,59914,173950,1827,107117,14460,347343,173950,47.19,23.63,"Boston-Cambridge-Newton, MA-NH",MA,High (40-49%),14460.0,1637.0,14460.0,0.34709245,44,22.189999999999998,64.62,190.0,11.61,13.509152503313311,47.37,-0.18
52,"Boulder, CO Metro Area",50324,4542,2985,4716,16110,1828,99770,14500,28353,16110,56.34,32.01,"Boulder, CO",CO,Very High (50%+),14500.0,1748.0,14500.0,0.028778413,3,31.340000000000003,91.26,80.0,4.58,10.82623737947102,55.13,1.21
53,"Bowling Green, KY Metro Area",26562,1883,1725,1518,6031,918,60914,14540,11157,6031,42.0,22.71,"Bowling Green, KY",KY,High (40-49%),14540.0,845.0,14540.0,-0.7513989,1,17.0,49.5,73.0,8.64,10.187236901960196,44.62,-2.62
54,"Bremerton-Silverdale-Port Orchard, WA Metro Area",31981,3489,2454,2653,6947,1635,93675,14740,15543,6947,48.6,21.72,"Bremerton-Silverdale-Port Orchard, WA",WA,High (40-49%),14740.0,1765.0,14740.0,-0.33649117,1,23.6,68.72,-130.0,-7.37,10.372897255442528,43.91,4.69
55,"Bridgeport-Stamford-Norwalk, CT Metro Area",118930,10136,7865,10736,31775,1751,107351,14860,60512,31775,50.88,26.72,"Bridgeport-Stamford-Norwalk, CT",CT,Very High (50%+),14860.0,1371.0,14860.0,0.27043277,8,25.880000000000003,75.36,380.0,27.72,11.686290363721291,49.91,0.97
56,"Bridgeport-Stamford-Norwalk, CT Metro Area",118930,10136,7865,10736,31775,1751,107351,14860,60512,31775,50.88,26.72,"Bridgeport-Stamford-Norwalk, CT",CT,Very High (50%+),14860.0,1810.0,14860.0,0.27043277,8,25.880000000000003,75.36,-59.0,-3.26,11.686290363721291,49.99,0.89
57,"Bridgeport-Stamford-Norwalk, CT Metro Area",118930,10136,7865,10736,31775,1751,107351,14860,60512,31775,50.88,26.72,"Bridgeport-Stamford-Norwalk, CT",CT,Very High (50%+),14860.0,2230.0,14860.0,0.27043277,8,25.880000000000003,75.36,-479.0,-21.48,11.686290363721291,50.03,0.85
58,"Brownsville-Harlingen, TX Metro Area",46015,4150,2743,3614,10623,855,47435,15180,21130,10623,45.92,23.09,"Brownsville-Harlingen, TX",TX,High (40-49%),15180.0,803.0,15180.0,-0.9804325,3,20.92,60.92,52.0,6.48,10.736722709272957,45.1,0.82
60,"Buffalo-Cheektowaga, NY Metro Area",167999,12636,9838,12652,42166,956,67638,15380,77292,42166,46.01,25.1,"Buffalo-Cheektowaga, NY",NY,High (40-49%),15380.0,963.0,15380.0,0.21027839,12,21.009999999999998,61.18,-7.0,-0.73,12.031713305986727,48.36,-2.35
63,"California-Lexington Park, MD Metro Area",11346,544,693,573,2602,1595,113668,15680,4412,2602,38.89,22.93,"California-Lexington Park, MD",MD,Moderate (30-39%),15680.0,1372.0,15680.0,0.3264193,1,13.89,40.45,223.0,16.25,9.336620537886512,45.13,-6.24
64,"Canton-Massillon, OH Metro Area",51907,4173,3010,3944,9484,835,62859,15940,20611,9484,39.71,18.27,"Canton-Massillon, OH",OH,Moderate (30-39%),15940.0,768.0,15940.0,-0.31504095,3,14.71,42.84,67.0,8.72,10.857208934818349,40.4,-0.69
65,"Cape Coral-Fort Myers, FL Metro Area",83206,7339,6183,8014,22717,1466,69368,15980,44253,22717,53.18,27.3,"Cape Coral-Fort Myers, FL",FL,Very High (50%+),15980.0,1231.0,15980.0,0.3799063,2,28.18,82.06,235.0,19.09,11.329074739593725,50.48,2.7
69,"Casper, WY Metro Area",8958,565,607,938,1709,945,69104,16220,3819,1709,42.63,19.08,"Casper, WY",WY,High (40-49%),16220.0,856.0,16220.0,-0.59318584,1,17.630000000000003,51.34,89.0,10.4,9.100302266767246,40.48,2.15
70,"Cedar Rapids, IA Metro Area",27608,2116,1567,2067,5232,863,75477,16300,10982,5232,39.78,18.95,"Cedar Rapids, IA",IA,Moderate (30-39%),16300.0,814.0,16300.0,-0.70319104,4,14.780000000000001,43.04,49.0,6.02,10.22586086477784,40.69,-0.91
71,"Chambersburg-Waynesboro, PA Metro Area",16945,1548,984,1153,2916,1019,71808,16540,6601,2916,38.96,17.21,"Chambersburg-Waynesboro, PA",PA,Moderate (30-39%),16540.0,939.0,16540.0,-0.92184037,3,13.96,40.65,80.0,8.52,9.737728084041152,38.55,0.41
72,"Champaign-Urbana, IL Metro Area",39445,2696,2072,2999,10499,975,62281,16580,18266,10499,46.31,26.62,"Champaign-Urbana, IL",IL,High (40-49%),16580.0,977.0,16580.0,1.107313,2,21.310000000000002,62.06,-2.0,-0.2,10.58266257552919,49.95,-3.64
73,"Charleston, WV Metro Area",29907,2106,1649,2008,6015,841,54473,16620,11778,6015,39.38,20.11,"Charleston, WV",WV,Moderate (30-39%),16620.0,833.0,16620.0,-0.70504236,1,14.380000000000003,41.88,8.0,0.96,10.305847845690813,41.96,-2.58
74,"Charleston, WV Metro Area",29907,2106,1649,2008,6015,841,54473,16620,11778,6015,39.38,20.11,"Charleston, WV",WV,Moderate (30-39%),16620.0,710.0,16620.0,-0.70504236,1,14.380000000000003,41.88,131.0,18.45,10.305847845690813,41.92,-2.54
75,"Charleston, WV Metro Area",29907,2106,1649,2008,6015,841,54473,16620,11778,6015,39.38,20.11,"Charleston, WV",WV,Moderate (30-39%),16620.0,705.0,16620.0,-0.70504236,1,14.380000000000003,41.88,136.0,19.29,10.305847845690813,41.91,-2.53
76,"Charleston-North Charleston, SC Metro Area",100827,8107,6848,9630,23943,1402,77460,16700,48528,23943,48.13,23.75,"Charleston-North Charleston, SC",SC,High (40-49%),16700.0,1372.0,16700.0,-0.07321241,5,23.130000000000003,67.36,30.0,2.19,11.521161455894942,46.59,1.54
77,"Charlotte-Concord-Gastonia, NC-SC Metro Area",348582,30392,22009,29353,70959,1279,76177,16740,152713,70959,43.81,20.36,"Charlotte-Concord-Gastonia, NC-SC",NC,High (40-49%),16740.0,805.0,16740.0,-0.3756849,12,18.810000000000002,54.78,474.0,58.88,12.761628775623043,43.13,0.68
78,"Charlotte-Concord-Gastonia, NC-SC Metro Area",348582,30392,22009,29353,70959,1279,76177,16740,152713,70959,43.81,20.36,"Charlotte-Concord-Gastonia, NC-SC",NC,High (40-49%),16740.0,1155.0,16740.0,-0.3756849,12,18.810000000000002,54.78,124.0,10.74,12.761628775623043,43.25,0.56
80,"Chattanooga, TN-GA Metro Area",71328,5182,4760,5641,13818,1000,65387,16860,29401,13818,41.22,19.37,"Chattanooga, TN-GA",TN,High (40-49%),16860.0,883.0,16860.0,-0.05491659,4,16.22,47.23,117.0,13.25,11.175044236185595,41.81,-0.59
82,"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",1270077,103199,73975,101075,293931,1310,85087,16980,572180,293931,45.05,23.14,"Chicago-Naperville-Elgin, IL-IN-WI",IL,High (40-49%),16980.0,1340.0,16980.0,-0.15016596,94,20.049999999999997,58.39,-30.0,-2.24,14.054588086518114,46.8,-1.75
83,"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",1270077,103199,73975,101075,293931,1310,85087,16980,572180,293931,45.05,23.14,"Chicago-Naperville-Elgin, IL-IN-WI",IL,High (40-49%),16980.0,1044.0,16980.0,-0.15016596,94,20.049999999999997,58.39,266.0,25.48,14.054588086518114,46.74,-1.69
84,"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",1270077,103199,73975,101075,293931,1310,85087,16980,572180,293931,45.05,23.14,"Chicago-Naperville-Elgin, IL-IN-WI",IL,High (40-49%),16980.0,959.0,16980.0,-0.15016596,94,20.049999999999997,58.39,351.0,36.6,14.054588086518114,46.71,-1.66
85,"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",1270077,103199,73975,101075,293931,1310,85087,16980,572180,293931,45.05,23.14,"Chicago-Naperville-Elgin, IL-IN-WI",IL,High (40-49%),16980.0,1205.0,16980.0,-0.15016596,94,20.049999999999997,58.39,105.0,8.71,14.054588086518114,46.78,-1.73
86,"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",1270077,103199,73975,101075,293931,1310,85087,16980,572180,293931,45.05,23.14,"Chicago-Naperville-Elgin, IL-IN-WI",IL,High (40-49%),16980.0,1303.0,16980.0,-0.15016596,94,20.049999999999997,58.39,7.0,0.54,14.054588086518114,46.8,-1.75
87,"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",1270077,103199,73975,101075,293931,1310,85087,16980,572180,293931,45.05,23.14,"Chicago-Naperville-Elgin, IL-IN-WI",IL,High (40-49%),16980.0,1066.0,16980.0,-0.15016596,94,20.049999999999997,58.39,244.0,22.89,14.054588086518114,46.74,-1.69
88,"Chico, CA Metro Area",34895,2571,2397,3490,9811,1280,66085,17020,18269,9811,52.35,28.12,"Chico, CA",CA,Very High (50%+),17020.0,1177.0,17020.0,-1.1931996,1,27.35,79.64,103.0,8.75,10.460098831451251,50.2,2.15
89,"Cincinnati, OH-KY-IN Metro Area",286425,20884,16625,19797,61645,990,76247,17140,118951,61645,41.53,21.52,"Cincinnati, OH-KY-IN",OH,High (40-49%),17140.0,793.0,17140.0,-0.49301097,26,16.53,48.14,197.0,24.84,12.565232000761826,44.31,-2.78
90,"Cincinnati, OH-KY-IN Metro Area",286425,20884,16625,19797,61645,990,76247,17140,118951,61645,41.53,21.52,"Cincinnati, OH-KY-IN",OH,High (40-49%),17140.0,968.0,17140.0,-0.49301097,26,16.53,48.14,22.0,2.27,12.565232000761826,44.36,-2.83
